[14-Oct-2017 09:06:21 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/tasklist/storage/framework/views/99a554185f2130d452cf282627ecf4bf on line 13
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  45. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:113
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  46. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1229
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  47. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/tasklist/vendor/symfony/http-foundation/Response.php:200
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  48. Illuminate\View\View->render() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Http/Response.php:51
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  49. Illuminate\View\View->renderContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:83
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  50. Illuminate\View\View->getContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:118
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  51. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:147
[14-Oct-2017 09:06:21 Asia/Tokyo] PHP  52. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/tasklist/storage/framework/views/8b20821db0b4f24de24f5bb7843618c3 on line 9
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP Stack trace:
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/tasklist/server.php:0
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/tasklist/server.php:21
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/tasklist/public/index.php:54
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  45. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:113
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  46. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1229
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  47. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/tasklist/vendor/symfony/http-foundation/Response.php:200
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  48. Illuminate\View\View->render() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Http/Response.php:51
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  49. Illuminate\View\View->renderContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:83
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  50. Illuminate\View\View->getContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:118
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  51. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:147
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  52. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  53. include() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:42
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  54. Illuminate\View\View->render() /home/ubuntu/workspace/tasklist/storage/framework/views/99a554185f2130d452cf282627ecf4bf:20
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  55. Illuminate\View\View->renderContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:83
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  56. Illuminate\View\View->getContents() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:118
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  57. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/View.php:147
[14-Oct-2017 11:12:43 Asia/Tokyo] PHP  58. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/tasklist/storage/framework/views/8b20821db0b4f24de24f5bb7843618c3 on line 9
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP Stack trace:
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/tasklist/server.php:0
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/tasklist/server.php:21
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/tasklist/public/index.php:54
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Oct-2017 11:14:28 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tasklist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
